NLquery_id,NLquery,LLM_model_name,LLM_returned_SQL_id,LLM_returned_SQL_query,SQL_correct,had_data
1,How many base models are there in total?,GPT-4,1,SELECT COUNT(*) FROM BaseModel,yes,yes
2,List all internet service providers and their endpoints,Claude-3.5-Sonnet,2,SELECT provider FROM InternetService,no,no
3,Find all agent clients who have interests in AI,GPT-4,3,SELECT uid FROM AgentClient WHERE interests LIKE '%AI%',yes,yes
4,What are the descriptions of base models created by user with uid 1?,Claude-3.5-Sonnet,4,SELECT description FROM BaseModel WHERE creator_uid = 1,yes,yes
5,Show all LLM services with their domains,GPT-4,5,SELECT L.sid FROM LLMService AS L JOIN InternetService AS I ON L.sid = I.sid,yes,no
6,Count how many customized models exist for each base model,Claude-3.5-Sonnet,6,SELECT bmid FROM CustomizedModel GROUP BY bmid,no,no
7,Find the average duration of all model configurations,GPT-4,7,SELECT AVG(duration) FROM ModelConfigurations,yes,yes
8,List all users who are both creators and clients,Claude-3.5-Sonnet,8,SELECT U.uid FROM User AS U JOIN AgentCreator AS AC ON U.uid = AC.uid JOIN AgentClient AS CL ON U.uid = CL.uid,yes,no
9,What is the most common internet service provider?,GPT-4,9,SELECT provider FROM InternetService GROUP BY provider ORDER BY COUNT(*) DESC LIMIT 1,yes,yes
10,Show all configurations with duration longer than 100,Claude-3.5-Sonnet,10,SELECT cid FROM ModelConfigurations WHERE duration > 100,yes,yes
